Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
विधुवन,vidhuvana,masculine,"विधुवनम् [vidhuvanam], Shaking, tembling, tremor.","हिलना, थरथरी, कंपकंपी"
संलयन,samlayana,masculine,"संलयनम् [saṃlayanam], 1 Adhering or clinging to.","जुड़ जाना, चिपक जाना"
साश्रुधी,saashrudhii,feminine,"साश्रुधी [sāśrudhī], A wife's or husband's mother, a mother-in-law.","सास, पति या पत्नी की माता"
उहार,uhaara,masculine,"उहारः [uhārḥ], A tortoise.",कछुवा
उत्सिच्,utsich,unknown,"उत्सिच् [utsic], 6 P. To sprinkle, spread, pour down.","छिनकना, उडेलना, फैलाना"
अनागम,anaagama,masculine,"अनागम [anāgama], a.",न आना
विसर्पण,visarpana,masculine,"विसर्पणम् [visarpaṇam], 1 Creeping along, gliding, going gently.","रेंगना, सरकना, शनैः शनैः चलना"
आण्डीर,aandiira,adjective,"आण्डीर [āṇḍīra], a. [आण्डमस्त्यस्य ईरच्]",बहुत अंडे रखने वाला
स्वस्क्,svask,unknown,"स्वस्क् [svask], 1 Ā. (स्वस्कते) See ष्वस्क्.","जाना, हिलना-जुलना"
औद्रङ्गिक,audranggika,masculine,"औद्रङ्गिकः [audraṅgikḥ], Collector of the tax called उद्रङ्ग which is probably a tax on permanent tenants; Ghoṣal's Revenue System, p.21; EI,XXIII, p.159.",‘उद्रंग’ अर्थात् कर का संग्राहक
गुह्,guh,unknown,"गुह् [guh], 1 U. (गूहति-ते, जुगूह, जुगुहे, अगूहीत्, अगूहिष्ठ, अगूढ, अघुक्षत्-त, गूहिष्यति-ते, घोक्ष्यति-ते, गूहितुम्, गोढुम्, गूढ) To cover, hide, conceal, keep secret; गुह्यं च गूहति गुणान् प्रकटीकरो...","ढकना, छिपाना, परदा डालना, गुप्त रखना"
अङ्क,angka,masculine,"अङ्क [aṅka], 1 A. (अङ्कते) To move in a curve. -1 U. (अङ्कयति-ते अङ्कयितुम्)",गोद
नैरन्तर्य,nairantarya,adjective,"नैरन्तर्यम् [nairantaryam], 1 Uninterruptedness, close succession, continuity; स तु दीर्घकालनैरन्तर्यसत्कारासेवितो दृढभूमिः Yoga S.14; नभो नैरन्तर्यप्रचलिततडित्पिञ्जरमिव Mv.1.43.","निर्बाधता, निरंतर होने का भाव, अविछिन्नता"
सौकुमार्य,saukumaarya,masculine,"सौकुमार्यम् [saukumāryam], 1 Softness, delicacy; tenderness; शिरीष- पुष्पाधिकसौकुमार्यौ बाहू तदीयाविति मे वितर्कः Ku.1.41.","मृदुता, सुकुमारता, कोमलता"
ठिण्ठा,thinthaa,feminine,"ठिण्ठा [ṭhiṇṭhā], A gaming house; क्रुद्धः स सभ्यष्ठिण्ठायां कितवान् स्वानभाषत Ks.92.121.",जूआघर
